,Date,State,Confirmed
307,2020-03-23,Rajasthan,28
308,2020-03-23,Tamil Nadu,9
309,2020-03-23,Telangana,32
310,2020-03-23,Chandigarh,6
311,2020-03-23,Jammu and Kashmir,4
312,2020-03-23,Ladakh,13
313,2020-03-23,Uttar Pradesh,31
314,2020-03-23,Uttarakhand,3
315,2020-03-23,West Bengal,7
316,2020-03-24,Andhra Pradesh,8
317,2020-03-24,Bihar,3
318,2020-03-24,Chhattisgarh,1
319,2020-03-24,Delhi,30
320,2020-03-24,Gujarat,33
321,2020-03-24,Haryana,28
322,2020-03-24,Himachal Pradesh,3
323,2020-03-24,Karnataka,37
324,2020-03-24,Kerala,95
325,2020-03-24,Madhya Pradesh,7
326,2020-03-24,Maharashtra,89
327,2020-03-24,Manipur,1
328,2020-03-24,Odisha,2
329,2020-03-24,Puducherry,1
330,2020-03-24,Punjab,29
331,2020-03-24,Rajasthan,32
332,2020-03-24,Tamil Nadu,15
333,2020-03-24,Telangana,35
334,2020-03-24,Chandigarh,7
335,2020-03-24,Jammu and Kashmir,4
336,2020-03-24,Ladakh,13
337,2020-03-24,Uttar Pradesh,33
338,2020-03-24,Uttarakhand,4
339,2020-03-24,West Bengal,9
340,2020-03-25,Andhra Pradesh,9
341,2020-03-25,Bihar,4
342,2020-03-25,Chhattisgarh,1
343,2020-03-25,Delhi,31
344,2020-03-25,Gujarat,38
345,2020-03-25,Haryana,28
346,2020-03-25,Himachal Pradesh,3
347,2020-03-25,Karnataka,41
348,2020-03-25,Kerala,109
349,2020-03-25,Madhya Pradesh,14
350,2020-03-25,Maharashtra,128
351,2020-03-25,Manipur,1
352,2020-03-25,Mizoram,1
353,2020-03-25,Odisha,2
354,2020-03-25,Puducherry,1
355,2020-03-25,Punjab,29
356,2020-03-25,Rajasthan,36
357,2020-03-25,Tamil Nadu,18
358,2020-03-25,Telangana,35
359,2020-03-25,Chandigarh,7
360,2020-03-25,Jammu and Kashmir,7
361,2020-03-25,Ladakh,13
362,2020-03-25,Uttar Pradesh,37
363,2020-03-25,Uttarakhand,4
364,2020-03-25,West Bengal,9
365,2020-03-26,Andaman and Nicobar Islands,1
366,2020-03-26,Andhra Pradesh,11
367,2020-03-26,Bihar,6
368,2020-03-26,Chandigarh,7
369,2020-03-26,Chhattisgarh,6
370,2020-03-26,Delhi,36
371,2020-03-26,Goa,3
372,2020-03-26,Gujarat,43
373,2020-03-26,Haryana,30
374,2020-03-26,Himachal Pradesh,3
375,2020-03-26,Jammu and Kashmir,13
376,2020-03-26,Karnataka,55
377,2020-03-26,Kerala,118
378,2020-03-26,Ladakh,13
379,2020-03-26,Madhya Pradesh,20
380,2020-03-26,Maharashtra,124
381,2020-03-26,Manipur,1
382,2020-03-26,Mizoram,1
383,2020-03-26,Odisha,2
384,2020-03-26,Puducherry,1
385,2020-03-26,Punjab,33
386,2020-03-26,Rajasthan,41
387,2020-03-26,Tamil Nadu,26
388,2020-03-26,Telangana,44
389,2020-03-26,Uttarakhand,5
390,2020-03-26,Uttar Pradesh,41
391,2020-03-26,West Bengal,10
392,2020-03-27,Andaman and Nicobar Islands,1
393,2020-03-27,Andhra Pradesh,12
394,2020-03-27,Bihar,6
395,2020-03-27,Chandigarh,7
396,2020-03-27,Chhattisgarh,6
397,2020-03-27,Delhi,36
398,2020-03-27,Goa,3
399,2020-03-27,Gujarat,43
400,2020-03-27,Haryana,30
401,2020-03-27,Himachal Pradesh,3
402,2020-03-27,Jammu and Kashmir,13
403,2020-03-27,Karnataka,55
404,2020-03-27,Kerala,137
405,2020-03-27,Ladakh,13
406,2020-03-27,Madhya Pradesh,20
407,2020-03-27,Maharashtra,130
408,2020-03-27,Manipur,1
409,2020-03-27,Mizoram,1
410,2020-03-27,Odisha,2
411,2020-03-27,Puducherry,1
412,2020-03-27,Punjab,33
413,2020-03-27,Rajasthan,41
414,2020-03-27,Tamil Nadu,29
415,2020-03-27,Telangana,45
416,2020-03-27,Uttarakhand,5
417,2020-03-27,Uttar Pradesh,41
418,2020-03-27,West Bengal,10
419,2020-03-28,Andhra Pradesh,14
420,2020-03-28,Andaman and Nicobar Islands,6
421,2020-03-28,Bihar,9
422,2020-03-28,Chandigarh,8
423,2020-03-28,Chhattisgarh,6
424,2020-03-28,Delhi,39
425,2020-03-28,Goa,3
426,2020-03-28,Gujarat,45
427,2020-03-28,Haryana,33
428,2020-03-28,Himachal Pradesh,3
429,2020-03-28,Jammu and Kashmir,20
430,2020-03-28,Karnataka,55
431,2020-03-28,Kerala,176
432,2020-03-28,Ladakh,13
433,2020-03-28,Madhya Pradesh,30
434,2020-03-28,Maharashtra,180
435,2020-03-28,Manipur,1
436,2020-03-28,Mizoram,1
437,2020-03-28,Odisha,3
438,2020-03-28,Puducherry,1
439,2020-03-28,Punjab,38
440,2020-03-28,Rajasthan,54
441,2020-03-28,Tamil Nadu,40
442,2020-03-28,Telangana,56
443,2020-03-28,Uttarakhand,5
444,2020-03-28,Uttar Pradesh,55
445,2020-03-28,West Bengal,15
446,2020-03-29,Andhra Pradesh,19
447,2020-03-29,Andaman and Nicobar Islands,9
448,2020-03-29,Bihar,11
449,2020-03-29,Chandigarh,8
450,2020-03-29,Chhattisgarh,7
451,2020-03-29,Delhi,49
452,2020-03-29,Goa,5
453,2020-03-29,Gujarat,58
454,2020-03-29,Haryana,33
455,2020-03-29,Himachal Pradesh,3
456,2020-03-29,Jammu and Kashmir,31
457,2020-03-29,Karnataka,76
458,2020-03-29,Kerala,182
459,2020-03-29,Ladakh,13
460,2020-03-29,Madhya Pradesh,30
461,2020-03-29,Maharashtra,186
462,2020-03-29,Manipur,1
463,2020-03-29,Mizoram,1
464,2020-03-29,Odisha,3
465,2020-03-29,Puducherry,1
466,2020-03-29,Punjab,38
467,2020-03-29,Rajasthan,55
468,2020-03-29,Tamil Nadu,49
469,2020-03-29,Telangana,66
470,2020-03-29,Uttarakhand,7
471,2020-03-29,Uttar Pradesh,65
472,2020-03-29,West Bengal,18
473,2020-03-30,Andhra Pradesh,23
474,2020-03-30,Andaman and Nicobar Islands,9
475,2020-03-30,Bihar,15
476,2020-03-30,Chandigarh,8
477,2020-03-30,Chhattisgarh,7
478,2020-03-30,Delhi,87
479,2020-03-30,Goa,5
480,2020-03-30,Gujarat,69
481,2020-03-30,Haryana,36
482,2020-03-30,Himachal Pradesh,3
483,2020-03-30,Jammu and Kashmir,48
484,2020-03-30,Karnataka,83
485,2020-03-30,Kerala,202
486,2020-03-30,Ladakh,13
487,2020-03-30,Madhya Pradesh,47
488,2020-03-30,Maharashtra,198
489,2020-03-30,Manipur,1
490,2020-03-30,Mizoram,1
491,2020-03-30,Odisha,3
492,2020-03-30,Puducherry,1
493,2020-03-30,Punjab,38
494,2020-03-30,Rajasthan,59
495,2020-03-30,Tamil Nadu,67
496,2020-03-30,Telangana,71
497,2020-03-30,Uttarakhand,7
498,2020-03-30,Uttar Pradesh,82
499,2020-03-30,West Bengal,22
500,2020-03-30,Unassigned,46
501,2020-03-31,Andhra Pradesh,40
502,2020-03-31,Andaman and Nicobar Islands,10
503,2020-03-31,Bihar,15
504,2020-03-31,Chandigarh,13
505,2020-03-31,Chhattisgarh,8
506,2020-03-31,Delhi,97
507,2020-03-31,Goa,5
508,2020-03-31,Gujarat,73
509,2020-03-31,Haryana,40
510,2020-03-31,Himachal Pradesh,3
511,2020-03-31,Jammu and Kashmir,54
512,2020-03-31,Karnataka,83
513,2020-03-31,Kerala,234
514,2020-03-31,Ladakh,13
515,2020-03-31,Madhya Pradesh,47
516,2020-03-31,Maharashtra,216
517,2020-03-31,Manipur,1
518,2020-03-31,Mizoram,1
519,2020-03-31,Odisha,3
520,2020-03-31,Puducherry,1
521,2020-03-31,Punjab,41
522,2020-03-31,Rajasthan,74
523,2020-03-31,Tamil Nadu,74
524,2020-03-31,Telangana,79
525,2020-03-31,Uttarakhand,7
526,2020-03-31,Uttar Pradesh,101
527,2020-03-31,West Bengal,26
528,2020-03-31,Unassigned,38
529,2020-04-01,Andhra Pradesh,83
530,2020-04-01,Andaman and Nicobar Islands,10
531,2020-04-01,Assam,1
532,2020-04-01,Bihar,23
533,2020-04-01,Chandigarh,16
534,2020-04-01,Chhattisgarh,9
535,2020-04-01,Delhi,152
536,2020-04-01,Goa,5
537,2020-04-01,Gujarat,82
538,2020-04-01,Haryana,43
539,2020-04-01,Himachal Pradesh,3
540,2020-04-01,Jammu and Kashmir,62
541,2020-04-01,Jharkhand,1
542,2020-04-01,Karnataka,101
543,2020-04-01,Kerala,241
544,2020-04-01,Ladakh,13
545,2020-04-01,Madhya Pradesh,66
546,2020-04-01,Maharashtra,302
547,2020-04-01,Manipur,1
548,2020-04-01,Mizoram,1
549,2020-04-01,Odisha,4
550,2020-04-01,Puducherry,3
551,2020-04-01,Punjab,42
552,2020-04-01,Rajasthan,93
553,2020-04-01,Tamil Nadu,234
554,2020-04-01,Telangana,96
555,2020-04-01,Uttarakhand,7
556,2020-04-01,Uttar Pradesh,103
557,2020-04-01,West Bengal,37
558,2020-04-02,Andhra Pradesh,86
559,2020-04-02,Andaman and Nicobar Islands,10
560,2020-04-02,Assam,5
561,2020-04-02,Bihar,24
562,2020-04-02,Chandigarh,16
563,2020-04-02,Chhattisgarh,9
564,2020-04-02,Delhi,219
565,2020-04-02,Goa,5
566,2020-04-02,Gujarat,87
567,2020-04-02,Haryana,43
568,2020-04-02,Himachal Pradesh,3
569,2020-04-02,Jammu and Kashmir,62
570,2020-04-02,Jharkhand,1
571,2020-04-02,Karnataka,110
572,2020-04-02,Kerala,265
573,2020-04-02,Ladakh,13
574,2020-04-02,Madhya Pradesh,99
575,2020-04-02,Maharashtra,335
576,2020-04-02,Manipur,1
577,2020-04-02,Mizoram,1
578,2020-04-02,Odisha,4
579,2020-04-02,Puducherry,3
580,2020-04-02,Punjab,46
581,2020-04-02,Rajasthan,108
582,2020-04-02,Tamil Nadu,234
583,2020-04-02,Telangana,107
584,2020-04-02,Uttarakhand,7
585,2020-04-02,Uttar Pradesh,113
586,2020-04-02,West Bengal,53
587,2020-04-03,Andhra Pradesh,132
588,2020-04-03,Andaman and Nicobar Islands,10
589,2020-04-03,Arunachal Pradesh,1
590,2020-04-03,Assam,16
591,2020-04-03,Bihar,29
592,2020-04-03,Chandigarh,18
593,2020-04-03,Chhattisgarh,9
594,2020-04-03,Delhi,219
595,2020-04-03,Goa,6
596,2020-04-03,Gujarat,95
597,2020-04-03,Haryana,49
598,2020-04-03,Himachal Pradesh,6
599,2020-04-03,Jammu and Kashmir,75
600,2020-04-03,Jharkhand,2
601,2020-04-03,Karnataka,124
602,2020-04-03,Kerala,286
603,2020-04-03,Ladakh,14
604,2020-04-03,Madhya Pradesh,104
605,2020-04-03,Maharashtra,335
606,2020-04-03,Manipur,2
607,2020-04-03,Mizoram,1
608,2020-04-03,Odisha,5
609,2020-04-03,Puducherry,5
610,2020-04-03,Punjab,48
611,2020-04-03,Rajasthan,167
612,2020-04-03,Tamil Nadu,309
613,2020-04-03,Telangana,158
614,2020-04-03,Uttarakhand,10
615,2020-04-03,Uttar Pradesh,172
616,2020-04-03,West Bengal,63
617,2020-04-03,Unassigned,77
618,2020-04-04,Andhra Pradesh,161
619,2020-04-04,Andaman and Nicobar Islands,10
620,2020-04-04,Arunachal Pradesh,1
621,2020-04-04,Assam,24
622,2020-04-04,Bihar,30
623,2020-04-04,Chandigarh,18
624,2020-04-04,Chhattisgarh,9
625,2020-04-04,Delhi,445
626,2020-04-04,Goa,7
627,2020-04-04,Gujarat,105
628,2020-04-04,Haryana,49
629,2020-04-04,Himachal Pradesh,6
630,2020-04-04,Jammu and Kashmir,75
631,2020-04-04,Jharkhand,2
632,2020-04-04,Karnataka,128
633,2020-04-04,Kerala,295
634,2020-04-04,Ladakh,14
635,2020-04-04,Madhya Pradesh,104
636,2020-04-04,Maharashtra,490
637,2020-04-04,Manipur,2
638,2020-04-04,Mizoram,1
639,2020-04-04,Odisha,5
